stop_id,stop_code,name,name_he,lat,lng,n_lines,n_allday_lines
1900,41017,Moriya/Feigin,מוריה/פיגין,32.799904,34.984781,15,3
1899,41016,Moriya/Tsafririm,מוריה/צפרירים,32.797519,34.984391,15,3
1861,40978,Pica/Oren,פיקא/אורן,32.786755,34.989752,15,3
16495,32573,Rosh Ha'ayin College/Mivtsa Bazak,מכללת ראש העין/מבצע בזק,32.094253,34.973436,15,3
5770,58177,Sapir Boulevard/Oranim Boulevard,שדרות ספיר/שדרות אורנים,32.779227,35.521597,15,3
8644,111,Yacobson/Ezrat Torah,יעקובזון/עזרת תורה,31.794631,35.211610,15,3
5373,57181,Yehuda HaLevi-Danilof Center,יהודה הלוי/דנילוף סנטר,32.790549,35.533043,15,3
9826,2262,Yigal Allon/HaHoresh Road,יגאל אלון/דרך החורש,31.809459,35.201642,15,3
14078,26590,Yigal Allon/HaRav Tayeb,יגאל אלון/הרב טייב,32.097706,34.836105,15,3
10784,5058,Yirmiyahu/Minhat Yitshak,ירמיהו/מנחת יצחק,31.792098,35.210971,15,3
16335,32408,Yosef Sapir/HaYarkonim,יוסף ספיר/הירקונים,32.099014,34.896110,15,3
9817,2217,Zondek/Aliyat HaNo'ar,צונדק/עליית הנוער,31.809763,35.199353,15,3
9815,2202,Zondek/Eshkoli,צונדק/אשכולי,31.811929,35.196261,15,3
9816,2203,Zondek/Reuven Mass,צונדק/ראובן מס,31.811272,35.198725,15,3
16272,32340,הגר''א/לינדוי,הגר''א/לינדוי,32.096781,34.898015,15,3
36931,65390,הריטב''א א,הריטב''א א,31.928146,35.049084,15,3
7314,60022,הריטב''א ב,הריטב''א ב,31.928907,35.049759,15,3
7315,60023,הריטב''א/נתיבות שלום,הריטב''א/נתיבות שלום,31.927536,35.046789,15,3
9995,2563,יגאל אלון/ש''י,יגאל אלון/ש''י,31.808293,35.198739,15,3
33907,38599,רשב''י/רבי חייא,רשב''י/רבי חייא,32.049422,34.961838,15,3
10123,2815,תחנת רקל''ה שמעון הצדיק/שדרות בר לב,תחנת רקל''ה שמעון הצדיק/שדרות בר לב,31.794137,35.226814,15,3
27399,15061,Altalena,אלטלנה,31.782674,34.654828,15,2
23035,35014,Arar/Emek Dotan,ערער/עמק דותן,31.899197,35.009725,15,2
27450,15129,Ben Yehuda/Olei HaGardom,בן יהודה/עולי הגרדום,31.645947,34.555696,15,2
27458,15137,Ben Yehuda/Olei HaGardom,בן יהודה/עולי הגרדום,31.646242,34.556831,15,2
26171,13165,Bne Brit,בני ברית,31.786898,34.645991,15,2
16537,32616,Eli Cohen Square/HaRav Shalom Shabazi,כיכר אלי כהן / הרב שלום שבזי,32.099276,34.941532,15,2
9627,1735,Farbstein/Beit Hadfus,פרבשטיין/בית הדפוס,31.786075,35.192590,15,2
24411,37043,G Mall/Weizman,קניון ג'י/וייצמן,32.170768,34.925677,15,2
15876,31736,Ha'Atsma'ut Road/Weizmann,דרך העצמאות / וייצמן,32.028241,34.891065,15,2
1946,41063,HaCarmel Center/HaNassi Boulevard,מרכז הכרמל/שדרות הנשיא,32.803439,34.986942,15,2
10707,3854,HaMate HaArtsi/Haim Barlev Blvd,המטה הארצי/שדרות חיים ברלב,31.797849,35.231266,15,2
50824,14146,HaShahar Terminal/HaRav Ovadya Yosef,מסוף השחר/הרב עובדיה יוסף,31.066057,35.052585,15,2
20570,53430,HaTse'elim/HaOranim,הצאלים/האורנים,32.651921,35.098756,15,2
10167,2898,Hel HaHandasa/Na'omi Kiss,חיל ההנדסה/נעמי קיס,31.784434,35.227177,15,2
10166,2897,Hel HaHandasa/Shivte Israel,חיל ההנדסה/שבטי ישראל,31.786896,35.226832,15,2
24243,36604,Kfar Batia Educational Institute/Yerushalayim Road,מוסד חינוכי כפר בתיה/דרך ירושלים,32.188751,34.854732,15,2
47835,15861,Kiryat Gat Central Station/Platforms,ת. מרכזית קרית גת/רציפים,31.609009,34.770283,15,2
29047,19561,Merhavim/Netiv HaTsiporim,מרחבים/נתיב הצפרים,31.074755,35.036000,15,2
1893,41010,Moriya/Nahshon,מוריה/נחשון,32.791805,34.986255,15,2
1892,41009,Moriya/Zerubavel,מוריה/זרובבל,32.794270,34.985212,15,2
805,39769,Netanya Central Station,ת. מרכזית נתניה,32.326689,34.859446,15,2
23470,35599,Rabbi Yehuda HaNasi/Rabbi Shimon Ben Shetach,רבי יהודה הנשיא/רבי שמעון בן שטח,32.052902,34.960681,15,2
15425,31088,Road 40/Giv'at Brener,כביש 40/גבעת ברנר,31.861109,34.808948,15,2
15851,31668,Savyonim Mall/Neve Monoson,קניון סביונים/נווה מונסון,32.030185,34.876495,15,2
22095,34052,Savyonim Mall/Neve Monoson,קניון סביונים/נווה מונסון,32.030387,34.876621,15,2
34487,63259,Sha'ar HaGay/Atzmon,שער הגיא/עצמון,32.102672,35.198285,15,2
51717,2453,Sha’ar HaGai/HaTavor,שער הגיא/התבור,32.103297,35.198645,15,2
41664,1052,Tsor'a Intersection,מסעף צרעה,31.756541,34.983461,15,2
21506,33322,Weizmann/Pikud Ha'Oref,ויצמן/פיקוד העורף,31.941548,34.800774,15,2
2146,41263,Yad LaBanim A,יד לבנים א,32.797340,35.012322,15,2
2147,41264,Yad LaBanim B,יד לבנים ב,32.798413,35.008957,15,2
2859,41992,Yad LaBanim/Arad,יד לבנים/ערד,32.794214,35.018089,15,2
2139,41256,Yad LaBanim/Hilel Silver,יד לבנים/הלל סילבר,32.796975,35.007096,15,2
2145,41262,Yad LaBanim/Ma'alot Dov Gruner,יד לבנים/מעלות דב גרונר,32.795499,35.015500,15,2
18450,51119,Yakinton/Moran,יקינטון/מורן,32.721043,35.335153,15,2
39790,11548,Yerushalayim Boulevard/HaRav Zaban,שדרות ירושלים/הרב צבאן,31.418756,34.582544,15,2
18448,51117,מתנ''ס הר יונה/יקינטון,מתנ''ס הר יונה/יקינטון,32.724852,35.337055,15,2
2771,41903,צה''ל/חבצלת,צה''ל/חבצלת,32.772851,35.032387,15,2
27215,14830,רש''י/בן גוריון,רש''י/בן גוריון,31.728931,34.748724,15,2
22070,34025,Aba Hilel Silver/Pesah Lev,אבא הלל סילבר/פסח לב,31.966395,34.900239,15,1
2660,41791,Akko Road/Hen Boulevard,דרך עכו/שדרות חן,32.859993,35.094512,15,1
27353,15002,Barzilai Hospital,בית חולים ברזילי,31.663251,34.562429,15,1
13977,26391,Ben Zakai/HaRav Hirsch,בן זכאי/הרב הירש,32.080696,34.831031,15,1
22172,34137,Emek Dotan/Nahal Ga'aton,עמק דותן/נחל געתון,31.899535,35.020865,15,1
6998,59704,En HaMifrats Intersection,מסעף עין המפרץ,32.900782,35.091472,15,1
5269,57059,Guy Beach,חוף גיא,32.779308,35.544322,15,1
49649,56924,HaBanim Boulevard/Ezer Weizman,שדרות הבנים/עזר ויצמן,32.690820,35.230965,15,1
1194,40211,HaRimon/HaTe'ena,הרימון/התאנה,32.497598,34.924251,15,1
43471,43424,HaTohen/Halamish,הטוחן/חלמיש,32.485887,34.948427,15,1
14800,30316,Hadassim Junction,צומת הדסים,32.284931,34.897111,15,1
3917,43055,Haifa Road,דרך חיפה,32.805684,35.074309,15,1
18957,51703,Harduf Junction,צומת הרדוף,32.792064,35.176530,15,1
14720,30212,Havatselet Interchange,מחלף חבצלת,32.357842,34.870882,15,1
44499,36035,Hayim Herzog/Nisim Aloni,חיים הרצוג/ניסים אלוני,32.083080,34.977947,15,1
14050,26536,Ibn Gvirol/HaRav Maimon,אבן גבירול/הרב מיימון,32.090001,34.832890,15,1
39133,11347,Kama Intersection East,מחלף קמה לדרום,31.442307,34.767318,15,1
22073,34028,Katznelson/Hannah Szenes,כצנלסון/חנה סנש,31.951850,34.893599,15,1
16917,33095,Lod HaYeruka Road/Ha'Ela,דרך לוד הירוקה/האלה,31.946762,34.904765,15,1
4515,55054,Me'ir School/Begin Boulevard,בית ספר מאיר/שדרות בגין,32.493264,35.503657,15,1
14176,26763,Medinat HaYehudim/Maskit,מדינת היהודים/משכית,32.165926,34.811235,15,1
46704,18118,Menahem Begin Road/HaRav Shalom Ifargan Road,דרך מנחם בגין/דרך הרב שלום איפרגן,31.518208,34.589881,15,1
26842,14324,Mo'av/Leshem,מואב/לשם,31.261350,35.228355,15,1
22064,34019,Neot Kedumim Junction,צומת נאות קדומים,31.946242,34.969381,15,1
48909,43715,Nesher Stadium,אצטדיון נשר,32.765786,35.052788,15,1
